date,ind10,bse,int_bond,int_stock
2008-10-24,7.714,10631.12,66.812836,1552.030029
2008-10-27,7.705,10120.01,66.861191,1505.900024
2008-10-28,7.517,9734.22,65.887291,1649.469971
2008-10-29,7.589,9964.29,65.555748,1657.209961
2008-10-30,7.567,10536.16,64.961731,1698.52002
2008-10-31,7.683,9839.69,64.119057,1720.949951
2008-11-03,7.61,9536.33,64.292397,1726.329956
2008-11-04,7.512,9385.42,65.499084,1780.119995
2008-11-05,7.478,9291.01,66.275764,1681.640015
2008-11-06,7.561,8937.2,65.797272,1608.699951
2008-11-07,7.631,8773.78,65.367332,1647.400024
2008-11-10,7.763,8451.01,65.686356,1616.73999
2008-11-11,7.714,8915.21,65.880501,1580.900024
2008-11-12,7.711,8903.12,66.303528,1499.209961
2008-11-13,7.715,8695.53,64.715454,1596.699951
2008-11-14,7.682,9026.72,65.998421,1516.849976
2008-11-17,7.632,9092.72,66.28968,1482.050049
2008-11-18,7.468,8839.87,67.142632,1483.27002
2008-11-19,7.509,8739.24,68.862427,1386.420044
2008-11-20,7.473,8747.43,72.419991,1316.119995
2008-11-21,7.403,9229.75,71.372833,1384.349976
2008-11-24,7.252,8965.2,70.256393,1472.02002
2008-11-25,7.223,9162.62,72.322929,1464.72998
2008-11-26,7.201,9654.9,72.419991,1532.099976
2008-11-28,7.215,9645.46,73.31456,1535.569946
2008-12-01,7.112,9690.07,76.122223,1398.069946
2008-12-02,7.08,9832.39,76.414459,1449.800049
2008-12-03,7.065,9976.98,76.630165,1492.380005
2008-12-04,7.016,9715.29,78.140076,1445.560059
2008-12-05,6.787,10076.43,76.873672,1509.310059
2008-12-08,6.865,10099.91,76.706711,1571.73999
2008-12-09,6.771,9928.35,78.223579,1547.339966
2008-12-10,6.692,9686.75,78.035683,1565.47998
2008-12-11,6.625,9568.72,78.188866,1507.880005
2008-12-12,6.473,9328.92,78.188866,1540.719971
2008-12-15,6.23,9533.52,79.079384,1508.339966
2008-12-16,6.178,9716.16,81.034676,1589.890015
2008-12-17,6.011,9647.31,83.233452,1579.310059
2008-12-18,5.813,9903.46,84.979919,1552.369995
2008-12-19,5.574,9958.22,85.070419,1564.319946
2008-12-22,5.572,10275.6,84.416336,1532.349976
2008-12-23,5.722,10335.93,84.305031,1521.540039
2008-12-24,5.746,9586.88,84.124054,1524.900024
2008-12-26,5.603,9406.47,84.40239,1530.23999
2008-12-29,5.618,9110.05,84.301186,1510.319946
2008-12-30,5.549,9071.36,85.104019,1550.699951
2008-12-31,5.337,9370.49,83.323792,1577.030029
2009-01-02,5.26,9046.74,81.229309,1632.209961
2009-01-05,5.275,9323.59,79.134895,1628.030029
2009-01-06,5.349,9329.57,78.339027,1652.380005
2009-01-07,5.172,9100.55,78.646179,1599.060059
2009-01-08,5.293,8779.17,78.583313,1617.01001
2009-01-09,5.982,8813.84,78.702065,1571.589966
2009-01-12,6.048,8674.35,79.518883,1538.790039
2009-01-13,5.845,9004.08,79.602654,1546.459961
2009-01-14,5.679,9257.47,80.915176,1489.640015
2009-01-15,5.576,9236.28,81.047806,1511.839966
2009-01-16,5.559,9424.24,79.798157,1529.329956
2009-01-20,5.588,9066.7,79.784119,1440.859985
